iter	Passed	Remaining
0	2	212
1	3	193
2	5	185
3	7	171
4	9	172
5	10	169
6	12	168
7	14	167
8	16	165
9	18	163
10	19	160
11	21	159
12	23	157
13	25	156
14	27	154
15	28	152
16	30	149
17	32	148
18	34	146
19	36	144
20	37	142
21	39	140
22	41	139
23	43	137
24	45	135
25	46	133
26	48	131
27	50	129
28	52	128
29	54	126
30	55	124
31	57	122
32	59	120
33	61	118
34	62	116
35	64	115
36	66	113
37	68	111
38	70	109
39	71	107
40	73	105
41	74	102
42	75	100
43	77	98
44	79	96
45	80	94
46	82	93
47	84	91
48	85	89
49	87	87
50	89	85
51	91	84
52	92	82
53	94	80
54	95	78
55	97	76
56	99	75
57	101	73
58	103	71
59	104	69
60	106	68
61	108	66
62	110	64
63	111	62
64	113	61
65	115	59
66	117	57
67	118	55
68	120	54
69	122	52
70	124	50
71	126	49
72	160	59
73	162	57
74	164	54
75	166	52
76	168	50
77	170	48
78	172	45
79	174	43
80	175	41
81	177	39
82	179	36
83	181	34
84	183	32
85	185	30
86	187	27
87	189	25
88	191	23
89	193	21
90	195	19
91	197	17
92	199	15
93	201	12
94	203	10
95	205	8
96	207	6
97	208	4
98	210	2
99	212	0
