iter	Passed	Remaining
0	2	2327
1	4	2270
2	6	2212
3	8	2133
4	10	2161
5	12	2149
6	15	2130
7	17	2122
8	19	2112
9	21	2103
10	23	2075
11	25	2087
12	27	2110
13	29	2103
14	31	2092
15	33	2088
16	35	2064
17	37	2044
18	39	2018
19	40	2003
20	42	2003
21	44	1989
22	46	1977
23	48	1970
24	50	1960
25	52	1952
26	53	1943
27	55	1936
28	57	1935
29	59	1925
30	61	1913
31	62	1899
32	64	1893
33	66	1886
34	68	1879
35	70	1883
36	72	1887
37	74	1882
38	76	1876
39	77	1869
40	79	1867
41	81	1865
42	83	1859
43	85	1854
44	87	1857
45	89	1851
46	91	1845
47	92	1841
48	94	1837
49	96	1834
50	98	1831
51	100	1827
52	102	1827
53	104	1822
54	105	1819
55	107	1817
56	109	1813
57	111	1809
58	113	1807
59	115	1809
60	117	1812
61	119	1808
62	121	1805
63	123	1802
64	124	1797
65	126	1794
66	128	1790
67	130	1788
68	132	1791
69	134	1789
70	136	1785
71	138	1781
72	140	1778
73	141	1774
74	143	1770
75	146	1781
76	148	1782
77	150	1777
78	152	1773
79	153	1770
80	155	1766
81	157	1763
82	158	1749
83	160	1748
84	162	1754
85	164	1753
86	166	1749
87	168	1747
88	170	1745
89	172	1743
90	174	1738
91	175	1734
92	178	1737
93	179	1734
94	181	1732
95	183	1728
96	185	1724
97	186	1720
98	188	1716
99	190	1713
100	192	1713
101	194	1715
102	196	1712
103	198	1709
104	200	1706
105	201	1702
106	203	1700
107	205	1696
108	207	1694
109	209	1692
110	210	1689
111	212	1686
112	214	1682
113	216	1679
114	217	1676
115	219	1674
116	221	1668
117	223	1667
118	225	1665
119	226	1662
120	228	1660
121	229	1655
122	231	1652
123	233	1649
124	235	1646
125	237	1646
126	238	1641
127	240	1639
128	242	1637
129	244	1634
130	245	1631
131	247	1628
132	249	1625
133	251	1624
134	253	1624
135	255	1621
136	257	1619
137	258	1617
138	260	1614
139	262	1612
140	264	1610
141	265	1604
142	267	1604
143	269	1603
144	271	1601
145	273	1599
146	275	1597
147	276	1594
148	278	1592
149	280	1591
150	282	1590
151	284	1589
152	286	1588
153	288	1585
154	290	1583
155	292	1580
156	293	1578
157	295	1576
158	297	1574
159	299	1574
160	301	1568
161	302	1566
162	304	1564
163	306	1561
164	308	1559
165	310	1557
166	311	1555
167	313	1554
168	315	1553
169	317	1551
170	319	1548
171	321	1546
172	323	1545
173	325	1543
174	326	1540
175	328	1538
176	330	1538
177	332	1535
178	334	1533
179	336	1531
180	337	1528
181	339	1526
182	341	1524
183	343	1522
184	345	1521
185	347	1519
186	348	1517
187	350	1515
188	352	1513
189	354	1511
190	356	1508
191	358	1507
192	360	1507
193	362	1504
194	363	1502
195	365	1500
196	367	1498
197	369	1496
198	371	1494
199	373	1492
200	375	1491
201	377	1489
202	378	1487
203	380	1485
204	382	1483
205	384	1481
206	386	1479
207	387	1477
208	390	1476
209	392	1474
210	393	1472
211	395	1470
212	397	1468
213	399	1465
214	400	1463
215	402	1461
216	404	1461
217	406	1459
218	408	1457
219	410	1455
220	412	1453
221	414	1452
222	416	1452
223	418	1451
224	421	1450
225	423	1450
226	425	1449
227	427	1447
228	429	1445
229	431	1443
230	433	1442
231	435	1440
232	437	1439
233	438	1436
234	440	1434
235	442	1432
236	444	1429
237	445	1427
238	447	1425
239	449	1423
240	451	1422
241	453	1420
242	455	1418
243	457	1416
244	458	1413
245	460	1411
246	462	1409
247	464	1407
248	466	1406
249	468	1404
250	470	1402
251	471	1400
252	473	1398
253	475	1396
254	477	1394
255	478	1391
256	480	1390
257	482	1388
258	484	1386
259	486	1384
260	488	1382
261	489	1380
262	491	1378
263	493	1376
264	495	1374
265	497	1372
266	499	1370
267	501	1368
268	502	1366
269	504	1364
270	506	1362
271	508	1360
272	510	1358
273	512	1357
274	514	1355
275	515	1353
276	517	1351
277	519	1349
278	521	1347
279	523	1345
280	525	1343
281	527	1342
282	529	1340
283	530	1338
284	532	1336
285	534	1334
286	536	1332
287	538	1330
288	539	1328
289	541	1326
290	543	1325
291	545	1323
292	547	1321
